ticker,Date,Open,Close*,delta,delta_bin
APD,"Nov 11, 2020",297.0,280.84,-16.160000000000025,down
APD,"Nov 10, 2020",315.08,309.97,-5.109999999999957,down
APD,"Nov 09, 2020",318.91,312.67,-6.240000000000008,down
AKAM,"Nov 20, 2020",102.0,102.32,0.3199999999999932,up
AKAM,"Nov 19, 2020",100.92,101.5,0.5799999999999983,up
AKAM,"Nov 18, 2020",102.83,100.59,-2.2399999999999958,down
AKAM,"Nov 17, 2020",102.03,102.45,0.4200000000000017,up
AKAM,"Nov 16, 2020",100.28,101.68,1.4000000000000057,up
AKAM,"Nov 13, 2020",98.74,101.53,2.7900000000000063,up
AKAM,"Nov 12, 2020",97.09,98.23,1.1400000000000006,up
AKAM,"Nov 11, 2020",98.32,97.2,-1.1199999999999903,down
AKAM,"Nov 10, 2020",98.41,96.68,-1.7299999999999898,down
AKAM,"Nov 09, 2020",101.48,99.27,-2.2100000000000084,down
ALK,"Nov 20, 2020",48.23,47.72,-0.509999999999998,down
ALK,"Nov 19, 2020",47.36,48.49,1.1300000000000026,up
ALK,"Nov 18, 2020",48.5,47.72,-0.7800000000000011,down
ALK,"Nov 17, 2020",46.34,47.46,1.1199999999999974,up
ALK,"Nov 16, 2020",47.48,47.16,-0.3200000000000003,down
ALK,"Nov 13, 2020",43.11,44.66,1.5499999999999972,up
ALK,"Nov 12, 2020",43.05,42.41,-0.6400000000000006,down
ALK,"Nov 11, 2020",45.2,44.34,-0.8599999999999994,down
ALK,"Nov 10, 2020",45.9,45.52,-0.37999999999999545,down
ALK,"Nov 09, 2020",44.74,45.91,1.1699999999999946,up
ALB,"Nov 20, 2020",126.0,127.89,1.8900000000000008,up
ALB,"Nov 19, 2020",126.01,125.8,-0.210000000000008,down
ALB,"Nov 18, 2020",127.95,126.54,-1.4099999999999966,down
ALB,"Nov 17, 2020",127.53,127.95,0.4200000000000017,up
ALB,"Nov 16, 2020",123.0,128.92,5.919999999999987,up
ALB,"Nov 13, 2020",118.92,122.48,3.5600000000000023,up
ALB,"Nov 12, 2020",117.5,118.64,1.1400000000000006,up
ALB,"Nov 11, 2020",117.49,118.57,1.0799999999999983,up
ALB,"Nov 10, 2020",116.0,117.93,1.9300000000000068,up
ALB,"Nov 09, 2020",114.95,116.73,1.7800000000000011,up
ARE,"Nov 20, 2020",163.87,164.14,0.2699999999999818,up
ARE,"Nov 19, 2020",162.07,163.74,1.6700000000000157,up
ARE,"Nov 18, 2020",165.43,162.53,-2.9000000000000057,down
ARE,"Nov 17, 2020",164.77,165.29,0.5199999999999818,up
ARE,"Nov 16, 2020",166.71,165.33,-1.3799999999999957,down
ARE,"Nov 13, 2020",161.6,164.37,2.7700000000000102,up
ARE,"Nov 12, 2020",162.57,161.37,-1.1999999999999886,down
ARE,"Nov 11, 2020",162.32,162.75,0.4300000000000068,up
ARE,"Nov 10, 2020",154.51,161.76,7.25,up
ARE,"Nov 09, 2020",164.68,154.07,-10.610000000000014,down
ALXN,"Nov 20, 2020",121.63,121.38,-0.25,down
ALXN,"Nov 19, 2020",122.43,122.05,-0.3800000000000097,down
